*****************************
Basic coeficients
*****************************
Alpha, Cd
   9.000    ,   -.4270E-02,   -.3870E-02,   -.2443E-02,    .5905E-05,    .3460E-02,    .7936E-02,    .1187E-01
   10.00    ,   -.4956E-02,   -.4371E-02,   -.2694E-02,    .6408E-05,    .3711E-02,    .8438E-02,    .1256E-01
   12.00    ,   -.6392E-02,   -.5422E-02,   -.3219E-02,    .7459E-05,    .4236E-02,    .9488E-02,    .1399E-01
   14.00    ,   -.7859E-02,   -.6495E-02,   -.3756E-02,    .8532E-05,    .4772E-02,    .1056E-01,    .1546E-01
   16.00    ,   -.9463E-02,   -.7668E-02,   -.4342E-02,    .9704E-05,    .5359E-02,    .1173E-01,    .1706E-01
   18.00    ,   -.1141E-01,   -.9091E-02,   -.5054E-02,    .1112E-04,    .6071E-02,    .1316E-01,    .1901E-01
   19.00    ,   -.1256E-01,   -.9932E-02,   -.5474E-02,    .1196E-04,    .6491E-02,    .1400E-01,    .2016E-01
   20.00    ,   -.1410E-01,   -.1106E-01,   -.6038E-02,    .1310E-04,    .7054E-02,    .1513E-01,    .2170E-01
   21.00    ,   -.1568E-01,   -.1221E-01,   -.6615E-02,    .1424E-04,    .7631E-02,    .1628E-01,    .2328E-01
   22.00    ,   -.1710E-01,   -.1325E-01,   -.7133E-02,    .1530E-04,    .8150E-02,    .1732E-01,    .2470E-01
   24.00    ,   -.1955E-01,   -.1504E-01,   -.8030E-02,    .1708E-04,    .9047E-02,    .1911E-01,    .2715E-01

DeltaElev, CL_Elev
  -15.00    ,   -.9373E-01
  -10.00    ,   -.6855E-01
  -5.000    ,   -.3428E-01
    .000    ,    .6855E-04
   5.000    ,    .3428E-01
   10.00    ,    .6855E-01
   15.00    ,    .9373E-01

DeltaElev, Cm_Elev
  -15.00    ,   -.8251E-01
  -10.00    ,   -.6047E-01
  -5.000    ,   -.3022E-01
    .000    ,    .6044E-04
   5.000    ,    .3022E-01
   10.00    ,    .6047E-01
   15.00    ,    .8209E-01

DeltaElev, CLa_Elev
  -15.00    ,     .000    
  -10.00    ,     .000    
  -5.000    ,     .000    
    .000    ,     .000    
   5.000    ,     .000    
   10.00    ,     .000    
   15.00    ,     .000    

DeltaElev, Cha_Elev
  -15.00    ,   -.6132E-02
  -10.00    ,   -.6132E-02
  -5.000    ,   -.6132E-02
    .000    ,   -.6132E-02
   5.000    ,   -.6132E-02
   10.00    ,   -.6132E-02
   15.00    ,   -.6132E-02

DeltaElev, Chd_Elev
  -15.00    ,   -.9971E-02
  -10.00    ,   -.9517E-02
  -5.000    ,   -.9517E-02
    .000    ,   -.9517E-02
   5.000    ,   -.9517E-02
   10.00    ,   -.9517E-02
   15.00    ,   -.9971E-02



